job_id,company,job_title,state,city,experience,degree,required_skills,preferred_skills,salary_range,job_description,company_id
J001,TechNova,Junior Data Analyst,Tamil Nadu,Chennai,0-2,B.Tech,"Python, SQL, Excel, Power BI, Statistics, Tableau",,4-7 LPA,Entry-level data analyst role focused on data cleaning and visualization. Work with cross-functional teams to analyze business metrics and generate insights using Python and SQL.,
J002,InnovateLabs,Senior Software Engineer,Karnataka,Bangalore,5-8,B.Tech/M.Tech,"Java, Spring Boot, Microservices, Docker, Kubernetes, AWS",,15-20 LPA,Lead development of scalable microservices architecture. Mentor junior developers and drive technical excellence. Strong background in cloud technologies and containerization required.,
J003,DataDriven Inc,Data Scientist,Maharashtra,Mumbai,3-5,M.Tech,"Python, Machine Learning, TensorFlow, Statistics, Deep Learning, NLP",,10-15 LPA,Build predictive models and implement ML pipelines. Work with large datasets and develop end-to-end solutions. Strong statistical foundation and programming skills essential.,
J004,WebWorks,Frontend Developer,Telangana,Hyderabad,2-4,B.Tech,"JavaScript, React, HTML, CSS, TypeScript, Next.js, GraphQL",,6-10 LPA,Create responsive and interactive user interfaces. Collaborate with designers and backend teams. Passion for modern web technologies and user experience optimization.,
J005,CloudCore,DevOps Engineer,Karnataka,Bangalore,3-6,B.Tech,"Linux, Docker, Jenkins, Terraform, Kubernetes, Ansible, AWS",,9-13 LPA,Manage and optimize cloud infrastructure. Implement CI/CD pipelines and infrastructure as code. Ensure system reliability and scalability across production environments.,
J006,FinTech Solutions,Backend Developer,Maharashtra,Mumbai,2-4,B.Tech,"Python, Django, PostgreSQL, REST APIs, Celery, Redis, Docker",,7-11 LPA,Develop robust backend services for financial applications. Build scalable APIs and database solutions. Work in agile environment with focus on security and performance.,
J007,AI Insights,Machine Learning Engineer,Karnataka,Bangalore,4-7,M.Tech,"Python, Machine Learning, PyTorch, SQL, Computer Vision, MLOps, GCP",,12-18 LPA,Design and deploy machine learning models in production. Optimize model performance and create data pipelines. Strong Python and statistics skills required.,
J008,MobileFirst,iOS Developer,Tamil Nadu,Chennai,2-5,B.Tech,"Swift, Objective-C, iOS SDK, UIKit, SwiftUI, CocoaPods, ARKit",,8-12 LPA,Develop native iOS applications with clean architecture. Focus on performance optimization and user experience. Collaborate with product and design teams.,
J009,WebScale,Full Stack Developer,Telangana,Hyderabad,3-6,B.Tech,"JavaScript, React, Node.js, MongoDB, Express, Redux, AWS",,10-15 LPA,Build end-to-end web applications. Work on both frontend and backend development. Drive technical decisions and maintain code quality standards.,
J010,DataViz Corp,Business Intelligence Analyst,Tamil Nadu,Chennai,1-3,B.Tech,"SQL, Power BI, Tableau, Excel, Python, DAX, ETL",,5-8 LPA,Create dashboards and reports for business stakeholders. Design data models and optimize queries. Translate business requirements into analytical solutions.,
J011,SecureCode,Security Engineer,Karnataka,Bangalore,4-8,B.Tech/M.Tech,"Python, Java, C++, Network Security, Penetration Testing, SIEM, Cryptography",,11-16 LPA,Identify and mitigate security vulnerabilities. Conduct security assessments and implement safeguards. Stay updated with latest threat intelligence and security practices.,
J012,AndroidStudio,Android Developer,Maharashtra,Mumbai,2-4,B.Tech,"Java, Kotlin, Android SDK, XML, Jetpack, Firebase, RxJava",,7-10 LPA,Develop high-quality Android applications. Implement responsive UI and optimize app performance. Collaborate with cross-functional teams for seamless integration.,
J013,APIGateway,Systems Architect,Karnataka,Bangalore,7-10,M.Tech,"Java, Microservices, Cloud Architecture, System Design, Kubernetes, AWS, Event-Driven Architecture",,18-25 LPA,Design scalable system architecture. Lead technical vision and roadmap. Mentor engineering teams and establish best practices.,
J014,AutomateFlow,QA Automation Engineer,Telangana,Hyderabad,2-4,B.Tech,"Selenium, Python, JUnit, Test Automation, UFT, LoadRunner, API Testing",,6-9 LPA,Create automated test suites and frameworks. Ensure product quality through comprehensive testing. Identify and document bugs with clear reproducible steps.,
J015,GraphicsEdge,Graphics Engineer,Tamil Nadu,Chennai,3-6,B.Tech,"C++, OpenGL, GLSL, Graphics Algorithms, Unity, Unreal Engine, Linear Algebra",,8-13 LPA,Develop graphics rendering systems and visual effects. Optimize performance for various platforms. Collaborate with game and visualization teams.,
J016,CloudDB,Database Administrator,Maharashtra,Mumbai,4-7,B.Tech,"SQL, MySQL, PostgreSQL, Backup & Recovery, MongoDB, Redis, Performance Tuning",,9-14 LPA,Manage and optimize database infrastructure. Implement disaster recovery strategies. Monitor database performance and conduct capacity planning.,
J017,ProductGen,Product Manager,Karnataka,Bangalore,5-8,MBA/B.Tech,"Analytics, SQL, User Research, Roadmap Planning, A/B Testing, Tableau, Python",,15-22 LPA,Define product vision and strategy. Analyze user behavior and market trends. Drive cross-functional collaboration for product delivery.,
J018,BlockchainLabs,Blockchain Developer,Telangana,Hyderabad,3-6,B.Tech,"Solidity, Web3.js, Smart Contracts, Ethereum, Rust, Move, DeFi Protocols",,11-17 LPA,Develop and deploy smart contracts. Build blockchain applications and services. Focus on security and efficient code implementation.,
J019,VisionAI,Computer Vision Engineer,Karnataka,Bangalore,3-5,M.Tech,"Python, OpenCV, TensorFlow, Image Processing, YOLO, Segmentation, PyTorch",,10-15 LPA,Implement computer vision solutions. Develop image processing pipelines. Work on real-time visual recognition systems.,
J020,DataEngineering,Data Engineer,Maharashtra,Mumbai,3-6,B.Tech,"Python, Spark, Hadoop, SQL, ETL, Data Pipeline, Kafka, Scala",,9-14 LPA,Build scalable data infrastructure and pipelines. Design data warehousing solutions. Optimize data flow and ensure data quality across systems.,
