question_id,skill,difficulty,question,answer
Q001,Python,Easy,What is a list in Python?,A list is an ordered mutable collection of items defined using square brackets e.g. [1, 2, 3].
Q002,Python,Easy,What is the difference between a tuple and a list?,Tuples are immutable and defined with parentheses while lists are mutable and defined with square brackets.
Q003,Python,Medium,"What is the output of print(type(5/2))?",<class 'float'> because the / operator always returns a float in Python 3.
Q004,Python,Medium,What is a dictionary comprehension? Give an example.,"A concise way to create dictionaries, e.g. {x: x*x for x in range(5)} creates squares of 0-4."
Q005,Python,Medium,Explain the difference between deep copy and shallow copy.,A shallow copy copies references to nested objects while a deep copy recursively copies all nested objects independently.
Q006,Python,Hard,What is the Global Interpreter Lock (GIL)?,A mutex in CPython that allows only one thread to execute Python bytecode at a time limiting true multithreading for CPU-bound tasks.
Q007,Python,Hard,How do decorators work in Python?,Decorators are functions that wrap another function to extend its behavior without modifying its code using the @decorator syntax.
Q008,Python,Medium,What is the purpose of the __init__ method in a class?,It is the constructor method called automatically when a new object is instantiated to initialize its attributes.
Q009,Python,Easy,How do you handle exceptions in Python?,Using try, except, else, and finally blocks to catch and handle errors gracefully.
Q010,Python,Hard,What is a generator and how does it differ from a normal function?,A generator uses yield to produce values lazily one at a time maintaining state between calls instead of returning all values at once.
Q011,SQL,Easy,What does the SELECT statement do?,It retrieves data from one or more tables in a database.
Q012,SQL,Easy,What is a primary key?,A column or set of columns that uniquely identifies each row in a table and cannot contain NULL values.
Q013,SQL,Medium,Write a query to join two tables Employees and Departments on department_id.,"SELECT e.name, d.department_name FROM Employees e JOIN Departments d ON e.department_id = d.department_id;"
Q014,SQL,Medium,What is the difference between INNER JOIN and LEFT JOIN?,INNER JOIN returns only matching rows from both tables while LEFT JOIN returns all rows from the left table plus matched rows from the right table.
Q015,SQL,Medium,What is the purpose of the GROUP BY clause?,It groups rows sharing a common value in specified columns so aggregate functions like COUNT or SUM can be applied per group.
Q016,SQL,Hard,What is a subquery and when would you use one?,A query nested inside another query used to filter or compute values needed by the outer query, often in WHERE or FROM clauses.
Q017,SQL,Hard,Explain the difference between WHERE and HAVING clauses.,WHERE filters rows before aggregation while HAVING filters groups after aggregation has been applied.
Q018,SQL,Medium,What is a foreign key?,A column that creates a link between two tables by referencing the primary key of another table.
Q019,SQL,Hard,What is database normalization?,The process of organizing data to reduce redundancy and improve data integrity by dividing tables and defining relationships.
Q020,SQL,Easy,What does the DISTINCT keyword do?,It removes duplicate rows from the query result set.
Q021,Java,Easy,What is the difference between JDK and JVM?,JDK is the full development kit including compiler and tools while JVM is the runtime environment that executes Java bytecode.
Q022,Java,Easy,What is a class in Java?,A blueprint for creating objects that defines fields and methods describing behavior and state.
