observed_skill,proposed_canonical_skill,disposition,rationale
ACID Properties,ACID Properties,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
AJAX,AJAX,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Abstract Data Types,Abstract Data Types,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Access Control,Access Control,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Agile Methodology,Agile Methodology,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Algorithms,Algorithms,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Bootstrap,Bootstrap,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
C Programming,C Programming,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
CNN,CNN,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
CSS3,CSS,existing_alias_requires_review,Existing skill_aliases.csv mapping; no source change made
Classification,Classification,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Cloud Computing,Cloud Computing,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Cloud Computing Concepts,Cloud Computing Concepts,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Clustering,Clustering,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Communication,Communication,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Complexity Analysis,Complexity Analysis,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Cryptography,Cryptography,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Cybersecurity,Cybersecurity,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
DOM,DOM,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Data Science,Data Science,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Data Structures,Data Structures,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Database Design,Database Design,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Deployment,Deployment,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Design Principles,Design Principles,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Distributed Databases,Distributed Databases,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Documentation,Documentation,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Dynamic Programming,Dynamic Programming,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Excel,Microsoft Excel,existing_alias_requires_review,Existing skill_aliases.csv mapping; no source change made
Feature Engineering,Feature Engineering,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
File Systems,File Systems,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
HTML5,HTML,existing_alias_requires_review,Existing skill_aliases.csv mapping; no source change made
Indexing,Indexing,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Knowledge Representation,Knowledge Representation,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Linear Regression,Linear Regression,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Load Balancing,Load Balancing,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Logic Building,Logic Building,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Logistic Regression,Logistic Regression,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Maintenance,Maintenance,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
